dia ,modo,Numero
1,Autobus Interurbano,"79,253"
1,Autobus Urbano,"79,328"
1,Euskotren,"42,476"
1,Metro Bilbao,"250,435"
1,Otros,"6,400"
1,Renfe,"1,005"
2,Autobus Interurbano,"79,349"
2,Autobus Urbano,"78,853"
2,Euskotren,"43,430"
2,Metro Bilbao,"250,694"
2,Otros,"6,495"
2,Renfe,"11,948"
3,Autobus Interurbano,"76,913"
3,Autobus Urbano,"76,937"
3,Euskotren,"42,825"
3,Metro Bilbao,"249,097"
3,Otros,"6,909"
3,Renfe,"13,338"
4,Autobus Interurbano,"37,700"
4,Autobus Urbano,"40,649"
4,Euskotren,"26,303"
4,Metro Bilbao,"149,869"
4,Otros,"4,882"
4,Renfe,"8,665"
5,Autobus Interurbano,"18,056"
5,Autobus Urbano,"22,283"
5,Euskotren,"18,163"
5,Metro Bilbao,"95,533"
5,Otros,"4,568"
5,Renfe,"5,160"
6,Autobus Interurbano,"20,390"
6,Autobus Urbano,"22,793"
6,Euskotren,"18,309"
6,Metro Bilbao,"89,578"
6,Otros,"4,992"
6,Renfe,"5,417"
7,Autobus Interurbano,"50,463"
7,Autobus Urbano,"59,717"
7,Euskotren,"31,156"
7,Metro Bilbao,"181,284"
7,Otros,"5,386"
7,Renfe,"11,216"
8,Autobus Interurbano,"16,942"
8,Autobus Urbano,"20,422"
8,Euskotren,"14,776"
8,Metro Bilbao,"80,378"
8,Otros,"2,997"
8,Renfe,"4,431"
9,Autobus Interurbano,"71,906"
9,Autobus Urbano,"78,133"
9,Euskotren,"40,817"
9,Metro Bilbao,"236,400"
9,Otros,"5,428"
9,Renfe,"14,003"
10,Autobus Interurbano,"71,010"
10,Autobus Urbano,"77,139"
10,Euskotren,"42,147"
10,Metro Bilbao,"244,650"
10,Otros,"6,230"
10,Renfe,"15,016"
11,Autobus Interurbano,"37,318"
11,Autobus Urbano,"44,334"
11,Euskotren,"28,678"
11,Metro Bilbao,"183,936"
11,Otros,"3,909"
11,Renfe,"12,272"
12,Autobus Interurbano,"20,405"
12,Autobus Urbano,"26,416"
12,Euskotren,"19,703"
12,Metro Bilbao,"114,513"
12,Otros,"7,993"
12,Renfe,"6,542"
13,Autobus Interurbano,"77,722"
13,Autobus Urbano,"76,487"
13,Euskotren,"41,051"
13,Metro Bilbao,"241,973"
13,Otros,"7,753"
13,Renfe,"13,879"
14,Autobus Interurbano,"77,481"
14,Autobus Urbano,"77,343"
14,Euskotren,"42,268"
14,Metro Bilbao,"245,853"
14,Otros,"8,078"
14,Renfe,"14,822"
15,Autobus Interurbano,"77,199"
15,Autobus Urbano,"78,905"
15,Euskotren,"42,405"
15,Metro Bilbao,"249,236"
15,Otros,"7,454"
15,Renfe,"15,877"
16,Autobus Interurbano,"76,985"
16,Autobus Urbano,"77,157"
16,Euskotren,"42,228"
16,Metro Bilbao,"249,875"
16,Otros,"7,600"
16,Renfe,"16,170"
17,Autobus Interurbano,"74,788"
17,Autobus Urbano,"76,969"
17,Euskotren,"43,052"
17,Metro Bilbao,"253,231"
17,Otros,"8,497"
17,Renfe,"17,229"
18,Autobus Interurbano,"42,441"
18,Autobus Urbano,"46,129"
18,Euskotren,"30,601"
18,Metro Bilbao,"183,959"
18,Otros,"8,286"
18,Renfe,"14,194"
19,Autobus Interurbano,"20,554"
19,Autobus Urbano,"26,689"
19,Euskotren,"21,147"
19,Metro Bilbao,"128,802"
19,Otros,"7,644"
19,Renfe,"10,004"
20,Autobus Interurbano,"71,383"
20,Autobus Urbano,"73,600"
20,Euskotren,"40,117"
20,Metro Bilbao,"236,528"
20,Otros,"7,536"
20,Renfe,"15,306"
21,Autobus Interurbano,"71,243"
21,Autobus Urbano,"75,460"
21,Euskotren,"40,482"
21,Metro Bilbao,"238,871"
21,Otros,"7,686"
21,Renfe,"16,195"
22,Autobus Interurbano,"70,539"
22,Autobus Urbano,"74,238"
22,Euskotren,"41,769"
22,Metro Bilbao,"254,073"
22,Otros,"8,038"
22,Renfe,"18,807"
23,Autobus Interurbano,"61,979"
23,Autobus Urbano,"70,004"
23,Euskotren,"38,575"
23,Metro Bilbao,"222,724"
23,Otros,"6,981"
23,Renfe,"15,556"
24,Autobus Interurbano,"32,201"
24,Autobus Urbano,"45,114"
24,Euskotren,"22,741"
24,Metro Bilbao,"140,181"
24,Otros,"5,823"
24,Renfe,"9,221"
25,Autobus Interurbano,"8,695"
25,Autobus Urbano,"17,013"
25,Euskotren,"11,077"
25,Metro Bilbao,"76,095"
25,Otros,"5,608"
